S_SUPPKEY	S_NAME	S_ADDRESS	S_NATIONKEY	S_PHONE	S_ACCTBAL	S_COMMENT
189	Supplier#000000189       	SlPFDFJnn4gtrol	9	19-482-239-6669	1636.09	slyly final accounts wake slyly close,
190	Supplier#000000190       	qpXGL8oM1 wzQd	10	20-995-359-7606	6705.44	blithely ironic accounts cajole after the furiously ironic ideas. furiously ironic dolphin
191	Supplier#000000191       	X dZg6Dtv17X7	18	28-437-699-1621	1445	carefully express platelets are idly slyly fi
192	Supplier#000000192       	Tub1t4UlJwZ5U	15	25-585-189-5975	7031.84	ideas affix. final, final ideas cajole. courts 
193	Supplier#000000193       	0HvoBt,qEF EaKzYNCl	5	15-872-804-8448	9095.64	special, fluffy pinto beans are slyly pending accounts-- blithe foxes alongside of th
194	Supplier#000000194       	MDIkT8cHs7	9	19-741-822-3512	1487.08	slyly express platelets past the ent
195	Supplier#000000195       	xWy21YlUy3R6L01	2	12-395-261-9720	-767.31	unusual, regular ideas cajole quickly blithely dogged deposits. fluffily ironi
196	Supplier#000000196       	TQX4fMwB5tXoz4Fi4CEhALhi6	18	28-430-406-1127	4710.62	slyly regular requests use slyly. fluffily ironic pl
197	Supplier#000000197       	YC2Acon6kjY3zj3Fbxs2k4Vdf7X0cd2F	3	13-999-250-8664	2398.3	ironic packages boost fluffily against the quickly even warthogs.
198	Supplier#000000198       	ncWe9nTBqJETno	6	16-355-298-7120	2187.91	attainments cajole around the ironic requests. slyly reg
199	Supplier#000000199       	k,8F8FGDuN 3udblO	22	32-268-147-8879	8151.22	furiously final requests use among the special foxes. careful theodolites wake carefully qui
200	Supplier#000000200       	MNqafnV52UKvwuk3jFCn,AJkL	11	21-962-509-4762	1589.13	carefully special warthogs use
201	Supplier#000000201       	e3lZO QY9QpCVdc0HXrqXB5uxXnOi r	18	28-782-585-7326	9537.73	blithely even theodolites are instructions. regular requests affix slyl
202	Supplier#000000202       	NALZjSfea6SY zB1,I09OJYGrA8bwR4pU	23	33-549-918-5721	6739.52	final, express accounts inte
203	Supplier#000000203       	wvdhblw9JkIe52z0gnGSDrDBsMsI3Aidqk	1	11-257-649-3327	2150.78	bold instructions integrate carefully ironic request
204	Supplier#000000204       	 7bts1RIiMsy35F6V7 lC	15	25-718-760-9193	172.87	thinly ironic requests alongside of 
205	Supplier#000000205       	rF uV8d0JNEk	3	13-272-651-7242	-670.3	ideas poach quickly quickly regular dependencies. silent ideas detect furiously ironic
206	Supplier#000000206       	hva5xXEn5j7H27CdKcjFqi,QnunUZyt8,a	19	29-156-330-8311	7136.21	quickly express deposits nag at the bold excuses. slyly ironi
207	Supplier#000000207       	0QmBvfdQPh7Xy09txlnJcv	2	12-245-833-1389	3285.77	silent requests above the furiously special accounts cajole carefully quietly 
208	Supplier#000000208       	kr uyD ,K95lEvq77tuHVjOJM57	4	14-932-450-9228	1938.69	final, even ideas boost above t
209	Supplier#000000209       	fpTboatC6ogrozMPApz2DXmlukC9YVzCLCgQOtgU	18	28-134-789-6780	-395.27	slowly ironic pinto beans w
210	Supplier#000000210       	eC5 e7DXYBWi8XlnFtBxF,tSWPyQAzqb8gAZ	2	12-385-448-5157	9657.88	slyly express dugouts up the daring ideas detect carefully
211	Supplier#000000211       	acmexYmhAZhFyM	2	12-150-553-5979	2080.07	always even theodolites sleep final foxes. platelets cajole carefully according t
212	Supplier#000000212       	ZutN4kNIsv7sPWIV9,7	7	17-617-724-5874	-335.47	regular packages might integrate above the quickly regular requests. final fo
213	Supplier#000000213       	1s7 4odatD2BWz1QjXR2 2SnFhc,Rvr2Icxh1m7f	18	28-317-938-6979	2616.54	deposits cajole slyly. express packag
214	Supplier#000000214       	B3uLKyb, xkfHbTSUBe6HwwaBPdCvhiOqO4y	14	24-114-624-8961	7089.25	foxes along the even, final pinto beans b
215	Supplier#000000215       	YmZQvVCVanip2E	12	22-333-479-3656	6125.89	furiously pending platelets nag carefully until the blithely regular accounts. deposits nag along
216	Supplier#000000216       	K83M7iWDJx N Y	14	24-182-902-2539	6902.54	foxes cajole pains. even requests use quickly pendin
217	Supplier#000000217       	UVrZj7M2mMd7JLjbc tvFmQad14d1oid	15	25-113-702-9259	3084.6	furiously final deposits are fluffily s
218	Supplier#000000218       	c7CBVglgEM0XU,8bOU76GjEr5L5EXu9Uxa7U	10	20-180-767-8426	8843.88	unusual, bold requests haggle finally final accounts. blithely special pinto beans n
219	Supplier#000000219       	f0siVrn1T,dOIJgYU	9	19-708-346-1944	5222.69	special excuses affix fluffily pending deposits. carefu
220	Supplier#000000220       	uvWVvuY3tHcE2W34jcO538wy6	19	29-197-645-8102	6746.19	furiously silent excuses sleep slyly final,
221	Supplier#000000221       	aU oCBZs0CUUTU	11	21-402-925-9045	4283.34	regular instructions nag furiously fluffily pending asymptot
222	Supplier#000000222       	2JQCRHT8coRlrMria2	15	25-899-779-7536	4173.23	regularly pending requests about the slyly even ex
223	Supplier#000000223       	MCS3 zWF3Py8UZK PHdI6LsQD98phHJ7	2	12-790-796-4808	1518.42	quickly ironic theodolites alongside of the final requests cajole according to 
224	Supplier#000000224       	iD7eF,uwQxxPCAFTmdXYV7N	5	15-446-447-2944	9036.79	furiously special requests are instructions.
225	Supplier#000000225       	6Ez0sxpUfmtjqFDO	9	19-787-123-9863	2461.11	special theodolites along the fluffily ironic exc
226	Supplier#000000226       	83qOdU2EYRdPQAQhEtn GRZEd	3	13-768-844-6969	1906.46	regular, regular packages use blithely furiously cl
227	Supplier#000000227       	Qo959Dll Bd7xvfq3ELtCq	4	14-215-994-7949	7896.01	carefully regular pinto beans above the bold, unusual packages
228	Supplier#000000228       	pyTY uocaSasIUlrHUbBwM,r,	14	24-920-216-6514	2291.35	slyly unusual packages sleep stealthily around the ironic ideas. quickly regular instructions above
229	Supplier#000000229       	ycjgLrk,w8DcakfwTS1SO5kVch	14	24-392-655-8913	8751.47	carefully unusual deposits 
230	Supplier#000000230       	TgT146Clu9ODbYYBx4Wd8oe	1	11-819-222-2128	2975.98	ironic deposits lose furiously. furiously iron
231	Supplier#000000231       	uZfFnyAs9oFJ0No97rtQ OIV1AOYi	5	15-551-432-9958	9287.33	slowly pending requests int
232	Supplier#000000232       	90YJjotHlfwyieaTfuBJ8kohU5Oc83bESout,p	7	17-478-427-3811	300.8	carefully express asymptotes use among the accounts: final foxes c
233	Supplier#000000233       	Pu9mqssUjJNoqiGG4vfLTn3ENJnNPVrBNnXJM5Eb	6	16-283-737-6972	4544.18	furiously regular ideas nag after the sly, even requests. 
234	Supplier#000000234       	iMrk7HUD87at3IIh4rBi	24	34-187-193-2209	9957	final, special ideas are furiously above the 
235	Supplier#000000235       	W89jjgy458	8	18-835-352-6531	2424.93	accounts by the blithely regular dependencies affix carefully regular, even theodolites. exp
236	Supplier#000000236       	dZExtd1dlMyrPdSqDC3	15	25-250-525-2436	9844	fluffily regular epitaphs kindle regular ideas-- bold dep
237	Supplier#000000237       	NzEXFiPN5tnrZzs1E,uGeoEqolOlDYE7oQHnQWg	23	33-976-749-2413	6170.98	bravely ironic deposits across the quickly regular ideas a
238	Supplier#000000238       	xjSZNq AIqmrV UfxyGcS04RYOzW	8	18-950-354-3488	5763.17	special accounts haggle. slyly final instructions haggle carefully. express, regular 
239	Supplier#000000239       	XO101kgHrJagK2FL1U6QCaTE ncCsMbeuTgK6o8	22	32-396-654-6826	4672.25	bold foxes cajole. sometimes regular requests after the fluffily ironic deposits e
240	Supplier#000000240       	yMzL86zw28z6sMa	10	20-843-630-4161	6537.07	blithely regular ideas wake around the ironic, final epitaphs. finally unusual account
241	Supplier#000000241       	K3sXvTEnHT9yQSbzZmbPNY0,iPQsmySI	8	18-213-514-9357	9594.49	bold, even tithes wake final theodolites. slyly pending accounts cajole quickly. q
242	Supplier#000000242       	cpZMlI77TRq	11	21-489-286-5908	3736.64	quickly express deposits sleep furiously regular accounts. quickly even accounts above the slyl
243	Supplier#000000243       	8aQ3HGeOXxgYeMAXZQe B5y2RKEF5jdmN3Qb	6	16-554-376-5494	747.88	furiously express accounts wake requests. ironic requests before the final, 
244	Supplier#000000244       	 c6fBN9a 6EOcB1ZjbImMBAQMwI BKScDNVRP8	1	11-556-986-9638	5489.08	fluffily pending requests haggle carefully express theodolite
245	Supplier#000000245       	8qUceq1TSsNaTol3Ul6TDNSu9yRddanHEL	8	18-739-793-2096	6943.28	pending accounts wake; pinto beans haggle. blithely expr
246	Supplier#000000246       	BatWQwH8DgkBs	4	14-278-988-3903	5740.87	closely ironic pains haggle quickly after the pending, regular accou
247	Supplier#000000247       	0bkES oiL2joJGmxdGwPfVCOL,pIQ4JNZBPnOR	23	33-695-935-2388	3758.64	slyly idle dependencies boost slyly ironic deposits. carefully unusual requests
248	Supplier#000000248       	vDPBiu4L7hPZxwaEoNW u,zHgXVHvBXFBdfuek	6	16-646-663-7202	7487.64	bold, regular instructions sublate across the furiously regular dolphins. foxes 
249	Supplier#000000249       	ktpns6Bvu4fP8Wzzlc8	10	20-241-221-7700	2800.6	deposits breach furiously accounts. pending requests along the slyly
250	Supplier#000000250       	JkzOvHRi1rEdkZ	9	19-347-403-1571	9681.99	quickly regular accounts use against the express excuses. depend
251	Supplier#000000251       	Uqi3s, iqzLxI4duoRfgkciiN4XuCvITGIUf	21	31-869-288-1674	283.61	blithely special packages across the pearls detect above the ironic accounts. reg
252	Supplier#000000252       	xcaKgadrug	11	21-860-636-2585	1523.14	special, close accounts among t
253	Supplier#000000253       	DbryhLi6gCv8A P9FkjNp56mLP4KnV9Do	21	31-811-659-6792	352.61	furiously ironic deposits
254	Supplier#000000254       	c6h4mizJAVT0Oz	7	17-100-212-8737	6230.48	furiously unusual pinto beans are carefull
255	Supplier#000000255       	qx16XyCEUh9OawVeQWOlGlhAU32iHFPNkO	18	28-629-327-4139	4663.08	final packages about the blithely unusual theodolites wake blithely spec
256	Supplier#000000256       	ma15idU1PzO7itP67W1Rd	11	21-370-961-2170	6469.78	furiously special accounts 
257	Supplier#000000257       	BjFRji2XvSyOVe MHMP9r5vC2eP4kfF GXwBe 	16	26-806-563-6761	630.74	carefully express deposits unwind furiously along the quickly ironic deposits.
258	Supplier#000000258       	z8ImnYbuBbohh1 WT	7	17-820-568-1141	5736.09	express, ironic instructions sleep slyly above the slyly regular acco
259	Supplier#000000259       	2zzYBzG12K	10	20-901-530-6532	439.97	unusual packages sleep blithely. furiously fluffy asymptotes wake. ironic foxes detect blithe
260	Supplier#000000260       	TQGxRpJe08nPRqPYDIMTnst87mC0HZJ,rlnCQTF	23	33-226-804-7400	597.64	furiously special requests breach quickly according to the furiously express a
261	Supplier#000000261       	vUT2UDI,GAqIA	0	10-547-567-3297	-466.4	platelets are slyly along the ca
262	Supplier#000000262       	 3kCm2eN3Jra2UzvWWBm,P04b	20	30-952-865-8647	2138.97	quietly special accounts haggle furiously: final deposits against the furiously even
263	Supplier#000000263       	7Vdou,WjHE	14	24-203-272-3139	-316.81	carefully final packages above 
264	Supplier#000000264       	Oeq2ei9wRqt6yOuAAb0KoMRyoH4v	19	29-870-178-3535	8327.34	regular instructions sleep fluffily furiously regular requests; regular requests ha
265	Supplier#000000265       	eHF4Edu,B8,NgBSSEV4xNC37i1q08WCNKyOe6jP	19	29-734-865-6334	2638.54	carefully slow dependencies sleep blithely across the blithely even dep
266	Supplier#000000266       	LGWx4Xcq0GwQVwTR	23	33-256-678-2321	2874.22	slyly even ideas sleep carefully furiously ironic requests. car
267	Supplier#000000267       	,E9NoXeK5qOwVRoutS,X8Gr	10	20-501-962-2896	4068.14	blithely ironic dependencies are along the furiously blithe instructions. slyly ironic foxes haggl
268	Supplier#000000268       	ApLM6aebtP79LIp	23	33-863-692-9039	6261.99	blithely express requests alongs
269	Supplier#000000269       	LxOgEClzbXDEYHYG2ZMFoWHrD,C	2	12-988-623-6829	6331.84	pending, bold instruction
270	Supplier#000000270       	PM P65mhBoeFWkFMi9,	23	33-682-295-4727	3339.18	furiously regular packages thrash fluffily. quickly iro
271	Supplier#000000271       	U0BSsnILvbk7mL1cim,ZX70QIiTz	15	25-270-292-6296	8576.95	blithely ironic deposits wake. 
272	Supplier#000000272       	ywrDqLLTfKUF93	7	17-209-164-6836	6858.73	unusual, regular accounts dazzle fin
273	Supplier#000000273       	O0TyoQXlzJx	15	25-247-243-3871	3708.18	unusual pinto beans at the slyly final accounts poach furiously blithely fi
274	Supplier#000000274       	usxbl9KSW41DTE6FAglxHU	21	31-571-345-4549	6296.15	even, final accounts boost after the quiet ideas. quickly regular foxes integr
275	Supplier#000000275       	Mh9eZVjmBPZc5I2KHcMcfZOYbpFqrlVOLR	21	31-446-410-5215	8477.48	special theodolites nag slyly against the final pinto bean
276	Supplier#000000276       	KdVDs6EGfWVsPdjuCh9iep	6	16-752-344-8255	7144.78	unusual requests mold furiously slyly unusual ideas. bl
277	Supplier#000000277       	REebuerbQmMxlbCXnl2ihK,VyItkTNxU36  c	12	22-758-939-2357	4300.15	carefully bold foxes believe sl
278	Supplier#000000278       	gBQmkVmclUGbjwHVtrdmCk9Dwqd2Dez1	9	19-563-887-6379	665.89	enticing courts believe aft
279	Supplier#000000279       	aVGVO0XNwTEkFwH0OhaQMJC7un0EizPpq	13	23-617-962-7353	2613.77	furiously close requests after the s
280	Supplier#000000280       	MZAJPsr3TS62ocxtRc	11	21-536-349-7369	4540.53	slyly final instructions wake blithe
281	Supplier#000000281       	A2sesSQAAj6wvPPKL X4caRp,O	0	10-553-675-3578	3717.19	silent, regular pinto beans hinder through the asymptotes. final, express accounts u
282	Supplier#000000282       	Gh,k4vQQPzOyIA9ac9re5IjaV5LyXDtZX9O1kNG	8	18-420-459-8366	3751.04	escapades eat. blithely special accounts boost blithel
283	Supplier#000000283       	MWLpGjjs1WoofKSoN7Lm0DXcSY5H4E9CeneF67ZQ	17	27-409-203-4267	785.26	quickly bold pinto beans agai
284	Supplier#000000284       	7NF0OkJazPIJ7l,LBSw3abv	15	25-955-684-2997	6866.81	furiously permanent requests print slyly after the bold deposits. instructions around the reg
285	Supplier#000000285       	Br7e1nnt1yxrw6ImgpJ7YdhFDjuBf	3	13-907-873-9658	7487.27	fluffily even requests cajole. fluffily unusual th
286	Supplier#000000286       	o80iAPvmwqM3WOA93pqBHT4Dsgy1rwG	10	20-459-893-8984	7517.31	blithely ironic excuses haggle blithely along the blithely even foxes. blithely r
287	Supplier#000000287       	7a9SP7qW5Yku5PvSg	3	13-484-626-4797	6541.85	ideas haggle pending ideas. special requests cajole. ideas boost about the final
288	Supplier#000000288       	8fUJhFrKTMmi5L	10	20-850-734-7789	1884.76	regular deposits haggle among the furiously regular deposits. final requests sleep. q
289	Supplier#000000289       	6Tua0IHqN0sod1Tpdax5hD0	16	26-396-901-4544	6144.47	slyly regular pinto beans affix fluffily alon
290	Supplier#000000290       	6Bk06GVtwZaKqg01	6	16-675-286-5102	167.56	furiously unusual theodolites haggle along the slyly regular pa
291	Supplier#000000291       	0qDDQst1b1bznHQh5jsmOq8nxf8Pz1Kn	0	10-404-519-2270	9132.12	blithely final ideas unwind whithout the fluffily final inst
292	Supplier#000000292       	POEdp8d ug5bKQa,w4SAMaM2xna1ZtVk4z9loa	21	31-933-112-8506	9598.62	slyly regular platelets sublate slyly final deposits. packages
293	Supplier#000000293       	H2JnUWv1X3s0yI7i2tY5Vd0kd4f0	9	19-143-962-9484	7114.81	furiously bold packages about the daringly final sauternes sleep fluffily furio
294	Supplier#000000294       	20vnacv,dtZ0mr5kukNf	18	28-299-788-1836	6700.75	blithely special ideas sleep slyly. foxes wake carefully fu
295	Supplier#000000295       	gpm7fahY9j6YyTr Dozul	23	33-998-989-3147	-435.02	blithely ironic pinto beans against the furiously express deposits x-ray quickly out
296	Supplier#000000296       	g,WJbekrbjAcpNtn2QRsWtYx2RNVk 9aY	14	24-250-680-5383	1549.59	quickly special requests along the quickly regular accounts are caref
297	Supplier#000000297       	gfVOI9aT2roNGEgc	1	11-562-493-7660	4954.57	bold foxes haggle quickly silent 
298	Supplier#000000298       	oIB13yXjsqGSW	5	15-790-635-6692	-530.05	even deposits cajole. theodolites was at the daring accounts. furiously regular
299	Supplier#000000299       	kvWv3MYn,Q2SqJlckBfhpWYmnSeRwg6	10	20-180-187-8847	-561.38	carefully even requests are reque
300	Supplier#000000300       	YU QZvXHJC7,ZspUPGwaIOa	2	12-468-732-4623	811.42	blithely ironic instructions haggle fluffily against the blithely ironic requests. spe
301	Supplier#000000301       	YPFTsQOPRAGIlBw	4	14-434-699-9741	6472.62	furiously dogged platelets after the asymptotes use accor
302	Supplier#000000302       	ow8Io1JHkPnIAGCQYCWC	18	28-734-845-8630	4422.77	slyly bold decoys unwind accordin
303	Supplier#000000303       	MCFk0WJH4O9Fj,m3as3bdIgnP4pe 8qPj,wfo	8	18-932-912-3102	4500.9	final requests sleep unusual re
304	Supplier#000000304       	b4rSMq4y hBDMJgcNp	11	21-261-644-8980	8564.16	express instructions boost furiously. silent pinto bea
305	Supplier#000000305       	pKYTaixBtQ3AGJLwndRNxUlLUkXN667JT	17	27-607-328-4914	974.24	furiously regular deposits are regular ideas. packages nod quickly. foxes wake blithely. express pla
306	Supplier#000000306       	T5EUviO4mqrGO6ruLcIoo29M5S	16	26-954-209-5690	3979.54	ironic, ironic accounts are quickly 
307	Supplier#000000307       	3wL9YHFIvddxzh3mwy6SSrpfmzKvwAGmXK	14	24-499-938-5607	2168.65	enticingly dogged packages wake. blit
308	Supplier#000000308       	mVY7rtoxj9uSqzAJIp TOWPsv080hbPbOStGZx	8	18-360-691-8400	3513.89	blithely ironic theodolites sno
309	Supplier#000000309       	gT84r,AFSrZQpiSCnE02B3QK	2	12-950-744-5100	7875.48	deposits among the closel
310	Supplier#000000310       	I5Mw,rGgWQOFVotMHUmVjH	0	10-119-372-1062	9312.63	ironic dolphins boost quickly silent 
311	Supplier#000000311       	yjGDnCKi4Wmtim H3n9p	22	32-445-679-8585	7431	furiously unusual accounts boost carefully slyly pendin
312	Supplier#000000312       	8XYqBq S,OWbSp9Y2qGBWEV4hH l7ywxk	13	23-829-479-5202	7844.41	silent forges nag furiously pending pinto
313	Supplier#000000313       	9xrpKrwr9,Jgvm5q rGkZePkpsH5xEXZnuLJug	9	19-648-945-5128	4114.68	blithely regular foxes boost above the carefully quick packages. ruthlessly special excuses haggle 
314	Supplier#000000314       	CW6uXfPdJ6lmcJ	22	32-389-335-6770	7456.49	blithely special pinto beans haggle carefully express instructions. theodolites a
315	Supplier#000000315       	HRLhxvqBP,f,NjeUiT	2	12-574-691-2832	7315	carefully ironic courts cajole furiously furiously even asymptotes. regula
316	Supplier#000000316       	uXJ13cI7fXByGLBoQ8VU9AT	0	10-382-551-5105	5189.82	ironic, express dolphins cajole slyly by the express dolphins. slyly pending pains boost furi
317	Supplier#000000317       	EwuMPFkb3IrSqitX8ddgxy QWhXxeM4RoOu2d	17	27-131-276-7910	4277.34	regular, final dependencies before the plate
318	Supplier#000000318       	Cm5fnQ4M6VeJF17mBbV6iB0XoQL31STrb3Su	24	34-466-917-6708	2268.02	ironic asymptotes haggle regularly evenly final somas. 
319	Supplier#000000319       	tcES8Ay3zcHQER9K6gAKFWlDvcg nrbPl	18	28-288-466-7847	1578.18	express deposits cajole carefully across the ca
320	Supplier#000000320       	v2FlHgKKiGiDwR7uoJNWF	21	31-984-744-5308	1485.45	platelets sleep about the ironic requests. carefully final ideas sleep furiousl
321	Supplier#000000321       	pLngFl5yeMcHyov	19	29-573-279-1406	4941.88	slyly regular asymptotes nag furiously according to the blithely special
322	Supplier#000000322       	lB2qcFCrwazl7Qa	6	16-803-605-4129	6102.62	furiously pending excuses against the carefully regular packages should use regular, unusual 
323	Supplier#000000323       	0LEOmcTTomY1F0y	22	32-563-275-6438	704.83	furious packages sleep whithout
324	Supplier#000000324       	QDsgOSozg jniYR2HzxofLZyk0qGdJe	18	28-637-452-5085	8042.43	quickly ironic ideas cajole blithely unusual requests: carefully ev
325	Supplier#000000325       	bQgx8ABSanNFNfCHY,2 uPvGfafaMC5	8	18-671-443-5744	-786.95	slyly even ideas cajole quickly according to the packages; quickly pending 
326	Supplier#000000326       	9kFiCwhcBldg4xwm	7	17-390-604-7483	4680.75	furiously regular deposits sleep carefully carefully
327	Supplier#000000327       	MoC7Jc7oThpZ34HmJPKuUbOZwOyPOb1ksGlvT8o	0	10-519-344-7532	6408.52	express ideas boost furiously among the regular courts. th
328	Supplier#000000328       	SMm24d WG62	7	17-231-513-5721	5069.27	closely even requests above the fluffily final plate
329	Supplier#000000329       	zPg8 aqmUQ4wHGC 8nO39C50AOMB1VxTsJWmpYyz	17	27-571-511-5321	2166.85	carefully unusual dependencies against the pending accounts ar
330	Supplier#000000330       	MUxmICc8xS41A	22	32-845-516-3236	6199.85	furiously bold accounts after the excuses are after the sly, final theodolites. carefully
331	Supplier#000000331       	VkdMTxXHy22069CWmK658	22	32-337-220-5366	6929.91	regular foxes haggle slyly. carefully final instructions haggle. special, even theodolites wake. fin
332	Supplier#000000332       	OpvOrxiHWJ6QM	9	19-777-809-6033	1106.07	fluffily regular ideas across the quickly thin theodolites detect among the pearls. quickly sile
333	Supplier#000000333       	MaVf XgwPdkiX4nfJGOis8Uu2zKiIZH	22	32-508-202-6136	8702.02	slyly unusual packages nag blithely alongside of the express, final pinto beans. unusual, special
334	Supplier#000000334       	NHMGXoP 8cWsNXvV46AkZZJuptUm4mFo8	13	23-767-548-6051	7848.4	blithely ruthless accounts use regular accounts. blithely special platelets wake blithely package
335	Supplier#000000335       	JSwzRFY7dDNKfBe8ebMtm	16	26-741-643-2945	5119.09	packages haggle. slyly unusual pinto beans boost according to the final requests. blithely eve
336	Supplier#000000336       	orYe2VXtABdK sUvMCOZ9ZMhBJTPp7W3pffWmjZi	1	11-866-373-2323	3603.62	carefully even packages promise slyly according to the regular excuses? slyly bold r
337	Supplier#000000337       	IRrbCdIS,GB4YYhr	12	22-951-643-8793	9029.85	furiously regular dependencies across the regular accounts sle
338	Supplier#000000338       	2b6Gj,rSxqeIiAOMquj6c03p GmAzIog BrF05	16	26-565-914-7207	6835.16	furiously bold packages upon the blithely unusual decoys are furio
339	Supplier#000000339       	 ESOHA53rEW5G7Z75w5hJ	5	15-967-506-6094	3589.64	carefully bold ideas use quickly ironic accounts
340	Supplier#000000340       	Pk5F9dPqsa3k16I3UR282gY	22	32-849-350-3343	5001.23	blithely bold requests are qu
341	Supplier#000000341       	sdb9yPRPun Z awDuDPUId2NH0Yrz7dnJ1GBDc	14	24-320-626-2836	2755.92	quickly ironic packages cajole. quickly express package
342	Supplier#000000342       	YgcA0MYOSB1ou	2	12-829-736-2942	6791.04	fluffily regular requests above the slyly express requests cajole amon
343	Supplier#000000343       	LTRj tcLNq34je60R7LkZtNrEwmry00DIXguSxMS	4	14-617-526-7362	-905.27	blithely final attainments among the quickly special packages sleep carefully quickl
344	Supplier#000000344       	F mMVT6PuRj5S	11	21-808-924-2361	7082.37	blithely regular courts alongside of the blithely final packages use throughout the blithely dari
345	Supplier#000000345       	ZYuibETx2zArwg	18	28-503-710-4886	351.98	unusual requests boost blithely about the carefully express accounts. car
346	Supplier#000000346       	9vl7c3azrqt9wITrcglQhIGfwea	8	18-148-870-6674	6710.1	blithely even accounts detec
347	Supplier#000000347       	zg0m5HrQtl D	8	18-932-818-1269	2674.43	furiously final instructions boost according to the slyly ironic pinto beans. silent foxes ha
348	Supplier#000000348       	ZNEHF5c7kP5tPGdQ ZrJZNRdQnu0M9LVyO urMm	8	18-338-824-3860	1172.37	special, regular deposits wake 
349	Supplier#000000349       	21Sp51XIZ9vTChQBWv0CA1o1P,26clhjR	13	23-532-708-7267	1033.1	special, ironic grouches can are alongside of the finally ironic requests. silent in
350	Supplier#000000350       	KIFxV73eovmwhh	7	17-113-181-4017	3294.68	carefully bold packages about the
351	Supplier#000000351       	ZLWTvVCSmwsKfElT7K 2O1Ui	12	22-508-407-2628	8684.6	slyly unusual packages wake busily after the accou
352	Supplier#000000352       	LsVcltEi9NYu10ByH 5grND	16	26-911-452-7918	1189.55	final instructions thrash quickly. carefully regular deposits nag fluffily against the slyly
353	Supplier#000000353       	Bo,HYtujUMsMvE,	15	25-153-823-7261	3646.16	blithely ironic packages cajole. instructions are blith
354	Supplier#000000354       	w8fOo5W,aS	3	13-796-527-4255	8965.72	blithely ironic braids boost slyly across the blithely
355	Supplier#000000355       	DuCQn,7qi1KL a99mTWSY4Z9eC53dslWPABGj7	16	26-389-592-6792	6929.22	slyly final requests wake slyly. ironic, si
356	Supplier#000000356       	Lefi6RDDtvaVXqvhlbMuUrVm45oJbtkZM,Mup	11	21-198-523-7929	397.74	slyly final ideas sleep furiously after th
357	Supplier#000000357       	Vf7Hi5DuzZ6RJ,mfaXBVNqx0	20	30-147-268-1519	5724.04	regular, regular requests nag. care
358	Supplier#000000358       	V3yxhHhHSXqOoc5UPv5TwkVDGKQsG	3	13-831-247-2584	6974.74	fiCustomer ges aComplaintsly a
359	Supplier#000000359       	J5HqPZnfLcFMtlgwCnZPUI	24	34-121-923-9858	6476.58	silently special ideas cajole quickly regu
360	Supplier#000000360       	3avxIDL4YPrZVHie4rOiPrK8Z IJwEPqZaioHK	5	15-671-472-7761	4956.01	quickly express requests wake carefully. carefully regular accounts cajole slyly. quick
361	Supplier#000000361       	f8IUYRmdVXhQC9qJQjWknCXmzhe38vCbk6	3	13-192-383-9438	1678.56	carefully regular gifts wake slyly fluffily slow deposits. slyly special asymptotes use. express pa
362	Supplier#000000362       	XdtN0U5Qm2Z	23	33-445-749-9918	5571.81	requests integrate. unusual p
363	Supplier#000000363       	sYpqZxYin8GKkPtNWKOnJMTLm9f5e0lZ61N8wp	1	11-220-343-2951	505.69	carefully ironic dolphins above the carefully ironic accounts cajole quickly furiously
364	Supplier#000000364       	OhfGUPn8U9oBx5	9	19-653-706-8164	5105.84	furiously slow foxes run furiously across the accounts. even, special foxes sleep careful
365	Supplier#000000365       	SZaykm40Np0vOKp	23	33-253-791-9564	901.98	pending, pending foxes against the slyly unusual dependencies sle
366	Supplier#000000366       	AtIdvjsMt9peVyEbpoDerNTteRF	12	22-648-291-8851	-535.4	furiously silent deposits wake fluffily slyly silent pinto beans. busily ironic requ
367	Supplier#000000367       	E Sv9brQVf43Mzz	22	32-458-198-9557	8488.53	blithely regular asymptotes haggle quickly requests. ironic packages hinder carefully. bold, even 
368	Supplier#000000368       	3o5w6T5HzjFmSf1	0	10-694-873-8364	5783.96	blithely final excuses haggle furiously even
369	Supplier#000000369       	XKLa3tQT7,TgtuLi2Vme8vGyx	7	17-381-930-4614	2094.34	furiously ironic accounts boost slyly across the furiously final instructions. special ac
370	Supplier#000000370       	yyNSJAG9UXcWit4SeMkEIrNcdVq5	0	10-602-768-3758	8515.99	final, ironic requests around the blithely regular theodolites
371	Supplier#000000371       	7kc0KqnPxrJuGZdrrec7Cn,wrCPdxPemNPZQ	19	29-501-449-3837	5358.5	carefully bold excuses doze carefully. slyly even accounts dazzle carefully. special, bold acco
372	Supplier#000000372       	Bdhu5NV4VfPYBxsCmK,YnkoHIaW	5	15-246-325-3001	1311.15	bold pinto beans nag regularly about the ironic ac
373	Supplier#000000373       	oQAQ3UNvyJW	16	26-656-301-9303	1461.85	attainments wake furiously slyly ironic deposits. special pinto beans cajo
374	Supplier#000000374       	svrrNWiqg1f3tEXZdVbFK CAtLDsW1CidtyS	2	12-699-158-6062	4263.58	fluffily even packages shall cajole. blithe, even forges wake furiously dolphins. always regular
375	Supplier#000000375       	3CIBgjwAjB A1uxkiJNjc 7pI9AKhvnr1BHV9	11	21-250-668-2735	1962.02	always regular excuses haggle carefully; final instructions use furiously blithely expres
